,date,day,call_volume,date_index,week_index
1,01-Jan-12,sunday,869,1,1
2,02-Jan-12,monday,1857,2,1
3,03-Jan-12,tuesday,11477,3,1
4,04-Jan-12,wednesday,10608,4,1
5,05-Jan-12,thursday,10468,5,1
6,06-Jan-12,friday,9238,6,1
7,07-Jan-12,saturday,2425,7,1
8,08-Jan-12,sunday,1076,8,2
9,09-Jan-12,monday,10558,9,2
10,10-Jan-12,tuesday,10398,10,2
11,11-Jan-12,wednesday,9355,11,2
12,12-Jan-12,thursday,9168,12,2
13,13-Jan-12,friday,8288,13,2
14,14-Jan-12,saturday,2167,14,2
15,15-Jan-12,sunday,1060,15,3
16,16-Jan-12,monday,10472,16,3
17,17-Jan-12,tuesday,9702,17,3
18,18-Jan-12,wednesday,9528,18,3
19,19-Jan-12,thursday,9343,19,3
20,20-Jan-12,friday,13074,20,3
21,21-Jan-12,saturday,2600,21,3
22,22-Jan-12,sunday,1078,22,4
23,23-Jan-12,monday,10706,23,4
24,24-Jan-12,tuesday,9692,24,4
25,25-Jan-12,wednesday,9443,25,4
26,26-Jan-12,thursday,9149,26,4
27,27-Jan-12,friday,8379,27,4
28,28-Jan-12,saturday,2146,28,4
29,29-Jan-12,sunday,1088,29,5
30,30-Jan-12,monday,9931,30,5
31,31-Jan-12,tuesday,10885,31,5
32,01-Feb-12,wednesday,9500,32,5
33,02-Feb-12,thursday,8993,33,5
34,03-Feb-12,friday,7890,34,5
35,04-Feb-12,saturday,2181,35,5
36,05-Feb-12,sunday,1077,36,6
37,06-Feb-12,monday,9975,37,6
38,07-Feb-12,tuesday,9247,38,6
39,08-Feb-12,wednesday,9068,39,6
40,09-Feb-12,thursday,8768,40,6
41,10-Feb-12,friday,8369,41,6
42,11-Feb-12,saturday,2077,42,6
43,12-Feb-12,sunday,1016,43,7
44,13-Feb-12,monday,9255,44,7
45,14-Feb-12,tuesday,8821,45,7
46,15-Feb-12,wednesday,8477,46,7
47,16-Feb-12,thursday,6864,47,7
48,17-Feb-12,friday,8717,48,7
49,18-Feb-12,saturday,2382,49,7
50,19-Feb-12,sunday,1130,50,8
51,20-Feb-12,monday,9962,51,8
52,21-Feb-12,tuesday,9201,52,8
53,22-Feb-12,wednesday,8953,53,8
54,23-Feb-12,thursday,8683,54,8
55,24-Feb-12,friday,8292,55,8
56,25-Feb-12,saturday,2052,56,8
57,26-Feb-12,sunday,1051,57,9
58,27-Feb-12,monday,9466,58,9
59,28-Feb-12,tuesday,9089,59,9
60,29-Feb-12,wednesday,8664,60,9
61,01-Mar-12,thursday,8371,61,9
62,02-Mar-12,friday,7873,62,9
63,03-Mar-12,saturday,2131,63,9
64,04-Mar-12,sunday,1121,64,10
65,05-Mar-12,monday,9846,65,10
66,06-Mar-12,tuesday,9162,66,10
67,07-Mar-12,wednesday,8963,67,10
68,08-Mar-12,thursday,8341,68,10
69,09-Mar-12,friday,7603,69,10
70,10-Mar-12,saturday,2190,70,10
71,11-Mar-12,sunday,956,71,11
72,12-Mar-12,monday,9342,72,11
73,13-Mar-12,tuesday,8822,73,11
